# 通信网络专业术语（扩展版）
# 格式：词语 频率 词性（n=名词，v=动词，a=形容词）

# 极简网络专项术语
全员劳动生产率 1000 n
EFLOPS 1000 n
vCPU 1000 n
AI云 1000 n
智算私有云 1000 n
云智产品 1000 n
1+N渠道 1000 n
直产社会渠道 1000 n
穿透协同 1000 n
合规管理 1000 n
资本要素价值 1000 n
资产运营 1000 n
存量资产 1000 n
资产效益 1000 n
平台化发展模式 1000 n
网络运营体系 1000 n
IT运营能力 1000 n
物资采购与生产经营 1000 n
精准适配 1000 n
服务共享 1000 n
价值创造 1000 n
链长担当 1000 n
产业生态繁荣 1000 n
安全收入 1000 n
网络安全产品 1000 n
安全运营服务 1000 n
生产安全 1000 n
反诈工作 1000 n
关停量 1000 n
关停准 1000 n
涉案低 1000 n
复机快 1000 n
服务优 1000 n
专业技术人才 1000 n
技能人才 1000 n
价值所得 1000 n
价值贡献 1000 n
一线职工 1000 n
特殊困难群体 1000 n
政治思想建设 1000 n
干部教育培训 1000 n
班子梯次配备 1000 n
正确业绩观 1000 n
基层党建 1000 n
党风廉政建设 1000 n
学习教育成果 1000 n
基层减负 1000 n
中央巡视整改 1000 n
回头看 1000 n
对账销号 1000 n
审计整改 1000 n
反腐败斗争 1000 n
系统施治 1000 n
